License Number,Facility Name,Address,Email,Website,Facility/Program Type,Phone,Enrolled in Subsidized Child Care Program
79000231,ABLE ANNIE'S CONSOLIDATED SERVICES,1208 W MADISON STREET  MAYODAN NC 27027  Rockingham,annmiclil1983@gmail.com,,Family Child Care Home,3365482635,Yes
86000359,A GRACE ACADEMY OF MT.  AIRY,170 HARTWAY LANE  MOUNT AIRY NC 27030  Surry,jamie_renzi@yahoo.com,,Child Care Center,3367897771,Yes
36000578,4 KIDZ ONLY INC.,602 BESSEMER CITY ROAD  GASTONIA NC 28052  Gaston,shabazzshy@gmail.com,,Child Care Center,7046917945,Yes
49000379,A BETTER PLACE CHRISTIAN ACADEMY,437 HILLCREST DRIVE  STATESVILLE NC 28677  Iredell,amykellams@yahoo.com,,Child Care Center,7048727779,Yes
92003820,A HAPPY PLACE TO BEE,801 WEST GARNER RD  GARNER NC 27529  Wake,ahappyplacetobee@gmail.com,,Child Care Center,9192321801,No
34000361,A BETTER WORLD LEARNING CENTER,317 E 33RD ST  WINSTON-SALEM NC 27105  Forsyth,abetterworldLC@gmail.com,,Child Care Center,3367257358,Yes
41002089,A BRIGHTER CHILD ACADEMY,1624A RANKIN ROAD  GREENSBORO NC 27405  Guilford,abrighterchildacademy@gmail.com,,Family Child Care Home,3366638633,Yes
42000202,A - Z CHILDREN ENRICHMENT ACADEMY,310 CHARLOTTE STREET  ROANOKE RAPIDS NC 27870  Halifax,azacademy2010@yahoo.com,,Child Care Center,2525191019,Yes
18000434,A NEW BEGINNING CHILDREN'S LEARNING CENTER,15 EAST 22ND STREET  NEWTON NC 28658  Catawba,anb_newton@yahoo.com,,Child Care Center,8284652515,Yes
90000544,A KID'S PLACE,100 NAVAJO TRAIL  INDIAN TRAIL NC 28079  Union,nanab921@aol.com,,Child Care Center,7048823440,Yes
49000454,ADVANCE PRESCHOOL/MERA JAMS,633 WEST MCLELLAND AVENUE  MOORESVILLE NC 28115  Iredell,sarahcarr91@hotmail.com,,Child Care Center,7046632263,Yes
47000307,A CHILD'S JOY LEARNING CENTER,608 SOUTH BUCKEYE DR  RAEFORD NC 28376  Hoke,kmd11301977@yahoo.com,,Family Child Care Home,9106708225,No
01000552,A MOTHER'S TOUCH,518 HATCH STREET  BURLINGTON NC 27217  Alamance,sheilabrandon221@yahoo.com,,Family Child Care Home,3362275628,Yes
92002546,A BRIGHT CHILD DEVELOPMENT CENTER,7229 PILGRIM ROAD  RALEIGH NC 27616  Wake,abrightchildllc@gmail.com,,Child Care Center,9196961234,Yes
56000188,ABOVE AND BEYOND CHILDCARE,3 GEORGIA ROAD  FRANKLIN NC 28734  Macon,aboveandbeyondfranklin@gmail.com,,Child Care Center,8283711382,No
32001582,ACADEMY OF STARS,1222 HOLLOWAY STREET  DURHAM NC 27701  Durham,academyofstars@yahoo.com,,Child Care Center,9196870862,Yes
29000763,A NEW HOPE FOR ALL AFTERCARE LLC,107 B LEONARD STREET  THOMASVILLE NC 27360  Davidson,reginaalexander32@yahoo.com,,Child Care Center,3363136611,No
64000487,A MOTHER'S LOVE CHILDCARE,400 ESSEX ROAD  NASHVILLE NC 27856  Nash,shamillahorton@yahoo.com,,Family Child Care Home,2524584134,No
92001651,ABC LAND, INC II,55 LILES DEAN RD  WENDELL NC 27591  Wake,abcland1@aol.com,,Child Care Center,9193650810,Yes
60003666,A MOTHER'S DREAM LEARNING CENTER,2125 NORWICH PLACE  CHARLOTTE NC 28208  Mecklenburg,amothersdreaminc@yahoo.com,,Child Care Center,7044491858,Yes
14000367,A NEW BEGINNING CHILDREN'S LEARNING CENTER, INC.,2126 SW HAVEN CIRCLE  LENOIR NC 28645  Caldwell,anblenoir@yahoo.com,,Child Care Center,8287268630,Yes
34000868,A CHILD'S WORLD LEARNING CENTER SOUTH,1290 HARTMAN PLAZA DRIVE  WINSTON-SALEM NC 27127  Forsyth,brandi@achildsworldnc.com,,Child Care Center,3367640670,Yes
51000869,A BRIGHT START CHILD CARE LEARNING CENTER INC.,861 BERKSHIRE RD  SMITHFIELD NC 27577  Johnston,abrightstart1@gmail.com,,Child Care Center,9199385292,Yes
73000249,A CHILD'S GARDEN CHILDCARE,155 MAPLE STREET  ROXBORO NC 27573  Person,chaquittanichols@yahoo.com,,Family Child Care Home,3364596653,No
76000505,A CHILD'S JOURNEY,1801 SOUTH FAYETTEVILL STREET  ASHEBORO NC 27205  Randolph,kathryn@journeyasheboro.com,,Child Care Center,3367368720,No
78000332,A GIFT FROM GOD CHILDCARE,8467 DEEP BRANCH ROAD  PEMBROKE NC 28372  Robeson,chavisrena@yahoo.com,,Child Care Center,9107331062,Yes
17000081,A MOTHER'S TOUCH FCCH,7435 US HWY 158 E  LEASBURG NC 27291  Caswell,foltzfarm@charter.net,,Family Child Care Home,3365835835,No
92002888,A KIND GARDEN,838 BELMONT DRIVE  RALEIGH NC 27610  Wake,akindgarden@gmail.com,,Child Care Center,9196718125,Yes
92001891,A MOTHER'S TOUCH CHILD DEVELOPMENT CENTER, INC.,8448 HAINES CREEK LANE  RALEIGH NC 27616  Wake,amotherstouch123@bellsouth.net,www.amtcdc.com,Child Care Center,9198770101,Yes
74000793,A CHILD'S PLACE,532 MOYE BLVD  GREENVILLE NC 27835  Pitt,achildsplace@cwlcnc.com,,Child Care Center,2523207555,Yes
41002295,A ROYAL START,4201 FURNITURE AVE  JAMESTOWN NC 27282  Guilford,mjohnson@thepointcollegeprep.org,,Child Care Center,3363377882,No
92002296,A SAFE PLACE EARLY LEARNING CENTER,201 CLARENDON CRESCENT  RALEIGH NC 27610  Wake,info.asafeplacechildcare@gmail.com,www.asafeplacechildcare.com,Child Care Center,9198993536,Yes
97000300,A CHILD'S LIFE,1302 2ND STREET  NORTH WILKESBORO NC 28659  Wilkes,susanbyrd61@gmail.com,,Child Care Center,3368182333,Yes
98000120,ABC ACADEMY OF BLACK CREEK, INC.,112 CHURCH STREET  BLACK CREEK NC 27813  Wilson,abcacademy1203@gmail.com,,Child Care Center,2522432315,Yes
67000994,ABUNDANCE OF LOVE &amp; LEARNING CENTER,1510 GUM BRANCH ROAD  JACKSONVILLE NC 28540  Onslow,missygc84@gmail.com,,Child Care Center,9103534699,Yes
34001013,AGNEW'S LEARNING CENTER,4596 GREENMANOR DR  WINSTON-SALEM NC 27106  Forsyth,dwanna.agnew@yahoo.com,,Family Child Care Home,3367697543,Yes
70000102,BEVERLY'S CHILDCARE SERVICES,313 LOCUST STREET  ELIZABETH CITY NC 27909  Pasquotank,beverlyames1965@gmail.com,,Family Child Care Home,2523840268,Yes
08000103,Aulander Pre-K,2515 NC 305  AULANDER NC 27805  Bertie,bholley@bertie.k12.nc.us,,Child Care Center,2523453211,No
02000104,ALEXANDER EARLY HEAD START,401 EAST MAIN STREET  TAYLORSVILLE NC 28681  Alexander,angela.revell@enolagroup.org,,Child Care Center,8286351479,Yes
64000105,BRIGHT BEGINNINGS CHILD CARE HOME,205 OVERTON DR  ROCKY MOUNT NC 27804  Nash,taylorlove6@aol.com,,Family Child Care Home,2529376763,Yes
60003106,ALLIANCE CENTER FOR EDUCATION STEPHANIE JENNINGS,3320 NORTH SHARON AMITY ROAD  CHARLOTTE NC 28205  Mecklenburg,linda@ac4ed.org,,Child Care Center,9803550978,No
02000107,ALEXANDER COUNTY HEAD START - STONY POINT,311 STONY POINT SCHOOL ROAD  STONY POINT NC 28678  Alexander,cknepp@alexander.k12.nc.us,,Child Care Center,8285856981,No
02000108,ALEXANDER COUNTY HEAD START - WITTENBURG ELEM. SCH,7300 CHURCH ROAD  TAYLORSVILLE NC 28681  Alexander,cknepp@alexander.k12.nc.us,,Child Care Center,8286322395,No
60001090,ALL IN THE FAMILY,7520 CRESTSIDE LANE  CHARLOTTE NC 28227  Mecklenburg,latricia.black23@yahoo.com,,Family Child Care Home,7045367711,Yes
11000915,A SENSE OF WONDER,14 WILSON LANE  FLETCHER NC 28732  Buncombe,alissa22912@gmail.com,,Family Child Care Home,8282757306,No
02000112,ALEXANDER COUNTY HEAD START-BETHLEHEM ELEMENTARY,7900 NC HWY 127  TAYLORSVILLE NC 28681  Alexander,cknepp@alexander.k12.nc.us,,Child Care Center,8284958198,No
41002113,ARCHER ELEMENTARY NC PRE-K PROGRAM,2610 FOUR SEASONS BOULEVARD  GREENSBORO NC 27407  Guilford,roberts3@gcsnc.com,,Child Care Center,3362947335,No
41002114,BESSEMER ELEMENTARY NC PRE-K PROGRAM,918 HUFFINE MILL ROAD  GREENSBORO NC 27405  Guilford,donaldj@gcsnc.com,,Child Care Center,3363752585,No
1155046,A.C. REYNOLDS CHILD CARE,1 ROCKET DRIVE  ASHEVILLE NC 28803  Buncombe,elizabeth.stockslager@bcsemail.org,,Child Care Center,8282982543,Yes
67001166,ABOVE AND BEYOND EARLY LEARNING CENTER,19TH EAST DORIS AVENUE  JACKSONVILLE NC 28546  Onslow,abovebeyondcc19@gmail.com,,Child Care Center,9109680033,Yes
02000117,ALEXANDER COUNTY HEAD START - TAYLORSVILLE ELEM.,100 7TH STREET SW  TAYLORSVILLE NC 28681  Alexander,cknepp@alexander.k12.nc.us,,Child Care Center,8286323072,Yes
31000118,B F GRADY PREKINDERGARTEN CENTER,2631 NORTH  NC 11 &amp; 903 HWY  ALBERTSON NC 28508  Duplin,ihilton@duplinschools.net,,Child Care Center,2525689951,No
50000119,BLUE RIDGE SCHOOL PRE-K,95 BOBCAT DRIVE  CASHIERS NC 28717  Jackson,kcowan@jcpsmail.org,,Child Care Center,8287432646,No
24000121,ACME-DELCO ELEMENTARY PRE-K,16337 OLD LAKE ROAD  RIEGELWOOD NC 28456  Columbus,kleinthall@columbus.k12.nc.us,,Child Care Center,9106552957,No
99000122,COURTNEY PRESCHOOL AND DEVELOPMENTAL DAY,2529 COURTNEY-HUNTSVILLE ROAD  YADKINVILLE NC 27055  Yadkin,regina.baity@yadkin.k12.nc.us,,Child Care Center,3365511120,No
92001233,ANGELS ONLY,103 DEERWALK CT  CARY NC 27513  Wake,hofdsm1@aol.com,,Family Child Care Home,9843330085,No
92001241,ACADEMICALLY BASED CHILD,916 ROCK QUARRY RD SUITE 101  RALEIGH NC 27610  Wake,Qutekids@aol.com,,Child Care Center,9198331640,Yes
41001253,AFS CHILD CARE,3 LEITZEL COURT  GREENSBORO NC 27406  Guilford,annafs1@triad.rr.com,,Child Care Center,3363781727,Yes
32001264,ANGIE'S ANGELS DAYCARE CENTER,832 WOODGROVE DRIVE  DURHAM NC 27703  Durham,angiesangelsnc@gmail.com,,Family Child Care Home,9197681501,Yes
41001281,ALAMANCE ELEMENTARY ACES PROGRAM,3600 WILLIAMS DAIRY ROAD  GREENSBORO NC 27406  Guilford,stewara3@gcsnc.com,,Child Care Center,3366973177,Yes
35000129,DREAM WORLD ACADEMY,130 SAVAGE STREET  FRANKLINTON NC 27525  Franklin,dreamworldacademy@embarqmail.com,,Child Care Center,9194942177,Yes
41001315,BOAT BABIES,819 PINE STREET  GREENSBORO NC 27401  Guilford,toriboat@gmail.com,,Family Child Care Home,3368980683,Yes
92001132,BRIGHT BEGINNINGS CHILD DEVELOPMENT CENTER,123 BRIGHT BEGINNING WAY  CARY NC 27519  Wake,warelisaatbb@gmail.com,www.brightbeginningsofcary.com,Child Care Center,9193670009,Yes
55000133,A HAPPY HOME CHILD CARE,6744 LOWESVILLE LANE  STANLEY NC 28164  Lincoln,ahappyhomechildcare@charter.net,,Family Child Care Home,7045758927,No
34001341,A CIRCLE OF LIFE PRESCHOOL LLC,3301 RIDGEWOOD PLACE DRIVE  WINSTON-SALEM NC 27107  Forsyth,colp19@yahoo.com,,Family Child Care Home,3369374920,No
60001352,ANOINTED FUTURE CHILD CARE,6300 FARM POND LANE  CHARLOTTE NC 28212  Mecklenburg,c.harris8402@gmail.com,,Child Care Center,7049100348,Yes
60001360,CHILDCARE NETWORK # 92A,2241 COMMONWEALTH AVE  CHARLOTTE NC 28205  Mecklenburg,cni92@cnikids.com,www.childcarenetwork.net,Child Care Center,7043347269,Yes
78000137,COTTONWOOD PRE-ELEMENTARY,505 COTTONWOOD ST  LUMBERTON NC 28358  Robeson,Cottonwoodcubs@aol.com,,Child Care Center,9106181300,Yes
11000138,ASHEVILLE JEWISH COMMUNITY CENTER,236 CHARLOTTE STREET  ASHEVILLE NC 28801  Buncombe,daniel@jcc-asheville.org,,Child Care Center,8282530701,Yes
84000139,A LITTLE PIECE OF HEAVEN,123 MORNINGSIDE AVE  ALBEMARLE NC 28001  Stanly,heavenly28001@yahoo.com,,Family Child Care Home,9804393170,Yes
92001413,BEGINNING &amp; BEYOND CHILD DEVELOPMENT CENTER, INC,322 E CABARRUS ST  RALEIGH NC 27601  Wake,rozandbobby@aol.com,,Child Care Center,9198562273,Yes
24000142,BETHEL'S CHILDCARE,722 PRISON CAMP ROAD  WHITEVILLE NC 28472  Columbus,tissy89@yahoo.com,,Family Child Care Home,9104451223,Yes
04000143,ALL MY CHILDREN,1112 CENTER STREET  WADESBORO NC 28170  Anson,ingrambarbara981@gmail.com,,Family Child Care Home,7046942128,Yes
1152144,CHILD CARE CENTER OF FIRST PRESBYTERIAN CHURCH,40 CHURCH STREET  ASHEVILLE NC 28801  Buncombe,bolwell@fpcasheville.org,,Child Care Center,8282541043,Yes
32001455,BABS LIL' ANGELS,104 NEWBERRY LANE  DURHAM NC 27703  Durham,babslilangels@gmail.com,,Family Child Care Home,9192590196,Yes
64000146,ALL SMILES CHILD CARE CENTER,1046 N WINSTEAD AVENUE  ROCKY MOUNT NC 27804  Nash,susie03w@aol.com,,Child Care Center,2524436556,Yes
09000147,ANCHOR ACADEMY,103 CHESTNUT STREET  BLADENBORO NC 28320  Bladen,chatmac@intrstar.net,,Child Care Center,9108633582,No
32001491,CHILDREN'S CAMPUS AT SOUTHPOINT,7317 FAYETTEVILLE ROAD  DURHAM NC 27713  Durham,amy@childrenscampus.com,www.childrenscampus.com,Child Care Center,9198061900,Yes
26001508,ALDERMAN ROAD ELEMENTARY,2860 ALDERMAN ROAD  FAYETTEVILLE NC 28306  Cumberland,seanbrost@ccs.k12.nc.us,,Child Care Center,9104837370,No
47000151,ABUNDANTLY LOVE CHILD CARE,2003 MCGUIRE DRIVE  RAEFORD NC 28376  Hoke,abundantlylove@gmail.com,,Family Child Care Home,9102291165,Yes
26001524,ARETHER'S LITTLE M&amp;M CHILDCARE,3377 CUMBERLAND RD  FAYETTEVILLE NC 28306  Cumberland,AretherLittlemm@yahoo.com,,Child Care Center,9104231305,Yes
90000153,A+ CHILDCARE &amp; LEARNING CENTER,109 CAMELIA DR  MONROE NC 28110  Union,michellechmbs@yahoo.com,,Child Care Center,7042754242,Yes
46000154,Be The Change Education Center,851 US 13 South  AHOSKIE NC 27910  Hertford,juanitalharris112@yahoo.com,,Child Care Center,2528628057,Yes
26001561,BILINGUAL DAYCARE,821 BERWICK DRIVE  FAYETTEVILLE NC 28314  Cumberland,FLORESXIOMA@aol.com,,Family Child Care Home,9106336275,Yes
0159010,ALAMANCE CHRISTIAN SCHOOL DAY CARE,1336 TOWNBRANCH ROAD  GRAHAM NC 27253  Alamance,woakley@alamancechristianschool.org,,Child Care Center,3365780318,No
16000178,ATLANTIC ELEMENTARY SCHOOL PRE-K,151 SCHOOL DRIVE  ATLANTIC NC 28511  Carteret,greg.guthrie@carteretk12.org,,Child Care Center,2522253961,No
92001611,ABC LAND, INC.,610 RAYMOND DRIVE  WENDELL NC 27591  Wake,abcland1@aol.com,,Child Care Center,9193653212,Yes
67001162,BRIGHTER BEGINNINGS CHILD DEVELOPMENT CENTER,251 NORTHWEST CIRCLE  JACKSONVILLE NC 28546  Onslow,katrinajackson444@gmail.com,,Child Care Center,9109152220,Yes
26001634,ALMA EASOM PRIME TIME,1610 WESTLAWN AVENUE  FAYETTEVILLE NC 28305  Cumberland,tiffineyharp@ccs.k12.nc.us,,Child Care Center,9106782451,Yes
32002164,ART_BEE HOME DAY CARE,3635 SANA CT  DURHAM NC 27713  Durham,artbeeu@gmail.com,,Family Child Care Home,9196382078,Yes
07000167,CHOCOWINITY PRIMARY PRESCHOOL,606 GRAY ROAD  CHOCOWINITY NC 27817  Beaufort,lwhitt@beaufort.k12.nc.us,http://beaufort.cps.schoolfusion.us/,Child Care Center,2529463881,No
34001169,BUILDING BLOCKS LEARNING CENTER,5121 BUTTERFIELD DRIVE  WINSTON-SALEM NC 27105  Forsyth,constancecannon15@gmail.com,,Family Child Care Home,3369861010,Yes
84000172,DOROTHY HARTSELL DAY CARE HOME,8277 GRIFFIN GREENE BLVD  OAKBORO NC 28129  Stanly,dottiehartsell5@windstream.net,,Family Child Care Home,7044852633,Yes
55000173,BATTLEGROUND ELEMENTARY PRE-K,301 JEB SEAGLE DRIVE  LINCOLNTON NC 28092  Lincoln,kwithrow@lincoln.k12.nc.us,,Child Care Center,7047361626,No
67001174,BLENDING HEARTS ACADEMY,221 HENDERSON DRIVE  JACKSONVILLE NC 28540  Onslow,blendingheartsacademy@gmail.com,,Child Care Center,9104555626,Yes
41001759,ALLRED &amp; ALLRED DAYCARE CENTER,619 JOSEPH TERRACE  GREENSBORO NC 27405  Guilford,chonda84@yahoo.com,,Child Care Center,3362751616,Yes
55000176,Active Concepts, LLC,110 Technology Drive  LINCOLNTON NC 28092  Lincoln,trussell@activeconceptsllc.com,,Child Care Center,7042767100,No
26001771,BIRDS NEST MONTESSORI SCHOOL,6867 RAEFORD ROAD  FAYETTEVILLE NC 28304  Cumberland,birdsnestmontessorischool@yahoo.com,,Child Care Center,9108674073,Yes
73000178,AMELIA'S HOME DAY CARE,1340 GRILES STREET  ROXBORO NC 27573  Person,ameliarose1955@gmail.com,,Family Child Care Home,3365973289,Yes
26001796,BELLA CHILDREN CENTER,469 VANCOUVER DRIVE  FAYETTEVILLE NC 28303  Cumberland,isabellalovejoy@gmail.com,,Child Care Center,9104881728,Yes
92001810,A SAFE PLACE CHILD ENRICHMENT CENTER,1216 CROSSLINK ROAD  RALEIGH NC 27610  Wake,info.asafeplacechildcare@gmail.com,www.a safeplacechildcare.com,Child Care Center,9198339330,Yes
41001827,APPLE'S CHAPEL CHRISTIAN DAYCARE,7345 NC HWY 61 N  GIBSONVILLE NC 27249  Guilford,danaappleschapel@gmail.com,,Child Care Center,3366563693,No
16000183,CARTERET PRESCHOOL CENTER,903 CHURCH STREET  NEWPORT NC 28570  Carteret,kimberly.hughes@carteretk12.org,,Child Care Center,2522234574,Yes
56000184,COVENANT CHILD CARE,43 PALMER STREET CIRCLE  FRANKLIN NC 28734  Macon,stephanie.campbell2023@gmail.com,www.covenantchildcare.net,Child Care Center,8283692273,Yes
60001879,ABC ACADEMY,4821 EAST WT HARRIS BLVD  CHARLOTTE NC 28215  Mecklenburg,abc.funcare@ymail.com,,Child Care Center,7045671655,Yes
60004188,A MOTHER'S LOVE TOO,2915 N SHARON AMITY ROAD  CHARLOTTE NC 28205  Mecklenburg,mrspmoorer@amothersloveschools.org,,Child Care Center,7042366914,Yes
32001908,A NEW BEGINNING III,3809 UNIVERSITY DRIVE  DURHAM NC 27707  Durham,darnellawarthen@yahoo.com,,Child Care Center,9194901924,Yes
32001918,ANGEL CARE ACADEMY, INC.,1512 GLASGOW STREET  DURHAM NC 27705  Durham,angelcareacademy3@gmail.com,,Family Child Care Home,9194776447,Yes
19000192,BENNETT PRESCHOOL,61 RANDOLPH ST  BENNETT NC 27208  Chatham,ceking@chatham.k12.nc.us,,Child Care Center,3365813586,Yes
49000193,AMERICAN CHILD, INC.,115 COOPER STREET  STATESVILLE NC 28677  Iredell,piper11@bellsouth.net,,Child Care Center,7048381993,Yes
2905195,AROUND THE CLOCK DAY CARE HOME,1585 GILES ROAD  LEXINGTON NC 27295  Davidson,aroundtheclock55@yahoo.com,,Family Child Care Home,3368536344,Yes
45000196,ALICE'S PLAYGROUND CENTER,701 A SOUTH GROVE STREET  HENDERSONVILLE NC 28792  Henderson,alicesplayground@bellsouth.net,,Child Care Center,8286979449,Yes
41002197,ANITA'S CHILD CARE SERVICES,3214 WOODLEA DRIVE  GREENSBORO NC 27406  Guilford,aperry242@yahoo.com,,Family Child Care Home,3363781615,Yes
84000198,ALL STAR LEARNING CENTER OF STANLY CO. OF NC, INC.,34455 SPRINGDALE DRIVE  NEW LONDON NC 28127  Stanly,info@allstarlc.com,,Child Care Center,7044634422,Yes
32001997,AL-HUDA ACADEMY,5104 REVERE ROAD  DURHAM NC 27713  Durham,zqaabidh@alhudaacademy.net,,Child Care Center,9195729500,No
4155201,BABY'S WORLD #2,2601 PHILLIPS AVE  GREENSBORO NC 27405  Guilford,babys.world@hotmail.com,www.babysworldinc.com,Child Care Center,3363781885,Yes
41002034,CHILDCARE NETWORK #207,111 MUIRS CHAPEL ROAD  GREENSBORO NC 27410  Guilford,cni207@childcarenetwork.com,,Child Care Center,3368520240,Yes
26002204,ARMSTRONG ELEMENTARY,3395 DUNN ROAD  FAYETTEVILLE NC 28312  Cumberland,seanbrost@ccs.k12.nc.us,,Child Care Center,9104837370,Yes
32002058,ALL MY CHILDREN CHILD CARE CENTER,3011 ACADEMY ROAD  DURHAM NC 27707  Durham,ezm1999@gmail.com,,Child Care Center,9194016654,Yes
67001206,ABOVE &amp; BEYOND EARLY LEARNING CENTER 2 LLC,15 EAST DORIS AVENUE  JACKSONVILLE NC 28540  Onslow,abelc15@outlook.com,,Child Care Center,9103330111,Yes
41002079,ALPHA ACADEMY,612  W FAIRFIELD ROAD  HIGH POINT NC 27263  Guilford,melissashields67@hotmail.com,,Child Care Center,3364344420,Yes
60002092,A MOTHER'S LOVE FCCH,6000 QUIET COVE COURT  CHARLOTTE NC 28215  Mecklenburg,amlfcch@aol.com,,Child Care Center,7042366914,Yes
04000210,ANSON CHILDREN'S CENTER,383 COTTON STREET  POLKTON NC 28135  Anson,gjohnson@rhanet.org,,Child Care Center,7042727076,Yes
41002110,ALDERMAN ELEMENTARY NC PRE-K PROGRAM,4211 CHATEAU DRIVE  GREENSBORO NC 27407  Guilford,pendera@gcsnc.com,,Child Care Center,3362947320,No
42000212,AURELIAN SPRINGS INSTITUTE OF GLOBAL LEARNING,10536 HIGHWAY 48  LITTLETON NC 27850  Halifax,lynchka@as.halifax.k12.nc.us,,Child Care Center,2525864944,No
26002213,ALPHA ACADEMY,8030 RAEFORD RD  FAYETTEVILLE NC 28304  Cumberland,alphaacademy@earthlink.net,,Child Care Center,9102237711,Yes
41002214,BROWNS DAYCARE,1721 HANNAFORD ROAD  GREENSBORO NC 27401  Guilford,eulabrown41@yahoo.com,,Family Child Care Home,3365418777,Yes
32002215,BRANCHES COMMUNITY SCHOOL,903 BROAD STREET  DURHAM NC 27705  Durham,beth@branchescommunityschool.com,www.branchescommunityschool.com,Child Care Center,9199732274,No
32002163,AMEENAH'S LEARNING CENTER,5141-32 REVERE ROAD  DURHAM NC 27713  Durham,AMEENAHELAMIN@YAHOO.COM,,Family Child Care Home,9197284266,Yes
26002171,ALPHA OMEGA DAY ACADEMY, INC.,5701 VICKSBURG COURT  FAYETTEVILLE NC 28304  Cumberland,alphaomegadayacademy37@yahoo.com,,Family Child Care Home,9109771057,Yes
91000220,ABOVE AND BEYOND CHILDCARE CENTER,705 ALEXANDER AVE  HENDERSON NC 27536  Vance,ebostic@nc.rr.com,,Child Care Center,2524920474,Yes
32002227,ALL MY CHILDREN CHILD CARE CENTER,2101 ANGIER AVE  DURHAM NC 27703  Durham,ezm1999@gmail.com,,Child Care Center,9193815787,No
60004223,BALLANCREST ACADEMY,8165 ARDREY KELL ROAD  CHARLOTTE NC 28277  Mecklenburg,rachel@ballancrestacademy.com,,Child Care Center,7048410805,Yes
41002249,APPLEVILLE ACADEMY,2206 EASTCHESTER DRIVE  HIGH POINT NC 27265  Guilford,applevilleacademy@gmail.com,,Child Care Center,3368822206,Yes
07000225,A NEW ADVENTURE,148 AVON AVENUE  WASHINGTON NC 27889  Beaufort,lmoore@anewadventurenc.com,,Child Care Center,2529404440,Yes
41002267,ABOVE AND BEYOND CHRISTIAN DAY CARE,1510 EAST AVENUE  HIGH POINT NC 27260  Guilford,christnjanice@yahoo.com,,Child Care Center,3368213100,Yes
26002307,ADVENTURE IN FUN,5976 MONTEREY CT  FAYETTEVILLE NC 28314  Cumberland,eadytine@aol.com,,Child Care Center,9102735533,Yes
92002320,A PLACE TO GROW IN CARY, LLC,509 MADISON AVE  CARY NC 27513  Wake,germanpreschool@bellsouth.net,,Child Care Center,9194657242,Yes
92003234,BRENTWOOD CHILD CARE - THE FOUNDATION OF KNOWLEDGE,4001 GREEN ROAD  RALEIGH NC 27604  Wake,childrenwood@aol.com,,Child Care Center,9198726004,Yes
